IMG_ID,owner,title,description,LAT,LON,u_city,u_country,taken,base_url,url,S3_label,Prob_indoor,Prob_natural,Prob_urban
17271526139.jpg,130418712@N05,Rio Trejo,"Son numerosos los rios y arroyos que discurren por Setenil de las Bodegas, tanto por el municipio, como por el nucleo urbano.
Dos de esos rios o arroyos, el Rio Setenil o Rio de la Peña y el Arroyo del Burgo confluyen y se unen para formar el Rio Trejo, el cual, kilómetros mas adelante se une con el Arroyo del Zumacal para formar el Rio Guadalporcun, pero ya en tierras de Torre Alhaquime.
La imagen corresponde practicamente al nacimiento del Rio Trejo, a escasos metros del mismo, y bajo un puente por donde discurre una carretera.
La unica pega es la calidad del agua, sucia y mal oliente, lo cual no quita la belleza de ese bonito pueblo",36.861544,-5.177747,,,2015-04-26 17:11:11,https://www.flickr.com/photos/130418712@N05/17271526139,https://live.staticflickr.com/65535/17271526139_18d659f146_b.jpg,1.0,-33.511620484292514,53.368189945816994,-19.81092996150255
17776887679.jpg,55101137@N02,2015-05-13-022FD PH-XRD,"<u><b>Aircraft Type - Registration - (c/n)</b></u> . . <b>Boeing 737-7K2 - PH-XRD - (30659)</b>

<u><b>Owner/Operator</b></u> . . <b>Transavia</b>

<u><b>Location &amp; Date</b></u> . . <b>Eindhoven (EIN/EHEH) Welschap  Netherlands - 13th May 2015</b>",51.463766,5.392935,Bodmin,United Kingdom,2015-05-13 00:00:22,https://www.flickr.com/photos/55101137@N02/17776887679,https://live.staticflickr.com/5335/17776887679_94d9cca75d_b.jpg,2.0,-189.17965305596599,-51.707681957632296,240.9224975220859
20052582226.jpg,69258414@N08,"2x218, Hattstedt, 22.07.2015",Ein Intercity nordwärts in Hattstedt. Bespannt mit einem 218er Pärchen gebildet aus 218 319 und 218 344 unterwegs nach Westerland auf Sylt.,54.529777,9.029133,,,2015-07-22 15:31:00,https://www.flickr.com/photos/69258414@N08/20052582226,https://live.staticflickr.com/347/20052582226_75928a17ed_b.jpg,0.0,149.03586457669738,-123.35441858321428,-25.6433947365731
20383414776.jpg,131084835@N03,Skyffel,Tour Eiffel in March on a cloudy day in Paris.,48.861686,2.2931169999999996,,,2015-03-21 15:17:56,https://www.flickr.com/photos/131084835@N03/20383414776,https://live.staticflickr.com/482/20383414776_9eb28faf5c_b.jpg,0.0,65.03158890269697,-11.53522838652134,-53.45534039288759
25740797653.jpg,133755874@N03,Osterglocken in weiß ;),"Braunschweig

OLYMPUS art filter &quot;Partial Color&quot;",52.213888,10.523333000000001,Braunschweig,Deutschland,2016-04-03 14:19:35,https://www.flickr.com/photos/133755874@N03/25740797653,https://live.staticflickr.com/1461/25740797653_b1010cda2f_b.jpg,2.0,-285.16553163528437,62.392631098628044,222.80771346017718
31536395197.jpg,8704943@N07,Dwór Osteinów,"Dwór Osteinów (Osteiner Hof), Schillerpl., Moguncja, 16 listopada 2018 r.
Barokową rezydencję wybudował w latach 1747-1751 Johann Valentin Thomann dla hrabiowskiego rodu von Osteinów. Johann Friedrich Karl von Ostein był w tym czasie Elektorem Moguncji. Wkrótce budynek został zajęty przez okupujących Moguncję Francuzów na potrzeby władz departamentu. Był też wykorzystywany przez dowództwo pruskiego wojska. Po zniszczeniu w czasie II wojny światowej został odbudowany w latach 1947-48. Do 2014 r. był zajmowany przez Bundeswehrę.
**
Ostein Court (Osteiner Hof), Schillerpl., Mainz, November 16, 2018
The Baroque residence was built in 1747-1751 by Johann Valentin Thomann for the Graf von Ostein family. Johann Friedrich Karl von Ostein was the Elector of Mainz at that time. Soon it was taken over by French occupying Mainz for the department authorities seat. It was also used as Prussian military headquarters. After destruction during the World War II it was reconstructed in 1947-1948. Until 2014 the Ostein Court was in use by the Bundeswehr.",49.997903,8.267671,Gdańsk,Poland,2018-11-16 15:08:38,https://www.flickr.com/photos/8704943@N07/31536395197,https://live.staticflickr.com/7923/31536395197_9fd378c22f_b.jpg,2.0,-181.2522774450481,-6.373466746881603,187.66381218656898
31958928478.jpg,25722132@N05,...,"________________________________________________
<b>© ángel mateo</b>
Todos los derechos reservados / All rights reserved.",36.71761,-4.417716,,,2018-10-11 16:09:00,https://www.flickr.com/photos/25722132@N05/31958928478,https://live.staticflickr.com/4820/31958928478_a3f8eed28a_b.jpg,2.0,-209.72866159677503,-33.077809711918235,242.8429776411504
32050747657.jpg,67878469@N00,Another mudéjar ceiling in the Alcázar of Seville,"Plafond mudéjar dans l'Alcazar de Séville
***
Otro techo mudéjar en el Alcázar de Sevilla
***
I don't know what is wrong with me, but I could stare for hours at those mudéjar ceilings...;-)",37.384867,-5.99195,Paris,France,2016-01-01 00:00:00,https://www.flickr.com/photos/67878469@N00/32050747657,https://live.staticflickr.com/7877/32050747657_ed5b964348_b.jpg,2.0,-211.45317451283336,-38.762533843517296,250.24953914061192
32390620857.jpg,79986881@N00,Italy - Turin - Palazzo Reale di Torino 29_DSC4297,"One of the many stairs in the Palazzo Reale Di Torino.

We made sure we were amongst the first to enter the Palazzo Reale di Torino on the day we visited.  That way by keeping ahead of most of the visitors we were able to experience these amazing spaces without hordes of other tourists.

Click here to see more of my photos from my trip to Turin : <a href='https://www.flickr.com/photos/darrellg/albums/72157705667566294'>www.flickr.com/photos/darrellg/albums/72157705667566294</a>

From Wikipedia : &quot;The Royal Palace of Turin (Italian: Palazzo Reale di Torino) is a historic palace of the House of Savoy in the city of Turin in Northern Italy. It was originally built in the 16th century and was later modernized by Christine Marie of France (1606–63) in the 17th century, with designs by the Baroque architect Filippo Juvarra. The palace also includes the Palazzo Chiablese and the Chapel of the Holy Shroud, the latter of which was built to house the famous Shroud of Turin. In 1946, the building became the property of the state and was turned into a museum. In 1997, it was placed on the UNESCO World Heritage Site list along with 13 other residences of the House of Savoy.&quot;

<a href='http://www.dgphotos.co.uk' rel='noreferrer nofollow'>My Website</a> : <a href='https://www.twitter.com/dgphotos' rel='noreferrer nofollow'>Twitter</a> : <a href='https://www.facebook.com/dsgphotos' rel='noreferrer nofollow'>Facebook</a> : <a href='https://instagram.com/dgphotos.co.uk/' rel='noreferrer nofollow'>Instagram</a>  : <a href='https://www.photocrowd.com/dgphotos/' rel='noreferrer nofollow'>Photocrowd</a>

© D.Godliman",45.073178999999996,7.6854830000000005,Oxford,United Kingdom,2018-09-29 10:25:35,https://www.flickr.com/photos/79986881@N00/32390620857,https://live.staticflickr.com/7825/32390620857_0937655a05_b.jpg,1.0,-117.75999822467566,216.78841717913747,-98.98843225836754
32409873957.jpg,83776910@N06,Čd 242 226-9 te Ševětín op 26-8-2016,"We waren in augustus 2016 drie weken op vakantie in Tsjechië en zaten daar op de camping bij het dorp Kostelec. Een geweldige vakantie gehad. Onze dochter kon heerlijk spelen op de camping en zodoende kon ik zo nu en dan wat treinen spotten. Eén van mijn vaste plekjes was het station van Ševětín. Dit station is gelegen aan de hoofdlijn tussen České Budějovice en Veselí nad Lužnicí. De lijn wordt bereden door de sneltreinen in de relaties České Budějovice- Praha-Holešovice en Brno-Plzeň. Voor deze sneltreinen worden respectievelijk de series 362 en 242 ingezet. Lokaal rijden er nog enkele stoptreinen die afwisselend door dieseltreinstellen van de serie 814 en getrokken treinen met een 242 of 362 worden gereden. De goederendienst wordt gereden door de series 230, 240, 363 en 363.5 waarbij soms ook opdruklocs worden gebruikt.

Eén van de meest interessante lokale stoptreinen van de trein die om 17:18 binnenkwam op station Ševětín. Ik heb deze trein in onze vakantie vijf keer gefotografeerd en iedere keer zat er weer een andere locomotief van de serie 242 voor en ook nog drie verschillende kleurstellingen. Verder waren, ondanks de korte lengte van twee rijtuigen, de wagens iedere keer anders gerangschikt en zaten er soms ook nog rijtuigen in de oude kleur achter.

Op vrijdag 26 augustus zien we loc 242 226-9 binnenkomen met Os 8213 Tábor-České Budějovice.",49.098652,14.57669,Drachten,Nederland,2016-08-26 17:28:10,https://www.flickr.com/photos/83776910@N06/32409873957,https://live.staticflickr.com/65535/32409873957_607c6c4021_b.jpg,1.0,-155.01026774942875,232.19180097430942,-77.14191245287655
